graph_name,time,mcts_time,mdfvs_size
4673_e_093,222.220717,0,42
5738_e_099,106.8255181,0,39
5909_e_101,118.4491389,0,37
1661_e_053,144.7717118,0,35
1665_e_053,113.8433995,0,39
3586_e_081,145.7407053,0,44
371_e_019,95.89136553,0,44
4913_e_093,91.7775197,0,40
5938_e_101,92.61356711,0,39
4985_e_097,83.1311965,0,44
6126_e_101,62.53379297,0,40
3688_e_081,65.94882751,0,44
3418_e_079,53.11576867,0,35
1419_e_049,48.03686452,0,39
3247_e_077,58.13286781,0,42
3429_e_079,51.70449543,0,34
4861_e_093,81.37711978,0,40
3753_e_081,92.41802144,0,46
5807_e_099,53.69213533,0,35
5927_e_101,46.68422771,0,34
5128_e_097,93.27388811,0,36
5965_e_101,87.2818718,0,45
3488_e_079,27.79329681,0,42
4720_e_093,52.68221307,0,33
4676_e_093,61.77655005,0,32
3647_e_081,78.82906342,0,40
3403_e_079,50.93492842,0,53
5895_e_101,46.09136486,0,40
4768_e_093,44.37015676,0,37
5571_e_099,52.29461312,0,41
4987_e_097,36.54752374,0,38
5599_e_099,36.35813379,0,33
5517_e_099,33.43603015,0,34
1979_e_057,32.44544363,0,69
4581_e_093,41.91512966,0,36
1410_e_049,36.32638407,0,35
6229_e_101,25.64452624,0,38
2719_e_069,34.51830888,0,40
2190_e_063,24.59019685,0,50
4597_e_093,27.74541903,0,41
5050_e_097,30.79560184,0,29
2621_e_069,20.08213758,0,48
4892_e_093,28.64576173,0,40
1611_e_053,25.57524419,0,34
3174_e_077,23.38379645,0,37
3251_e_077,21.86301804,0,38
5401_e_099,25.95985603,0,30
5450_e_099,24.4996469,0,47
3000_e_073,22.46717858,0,27
3784_e_081,30.9623251,0,39
4995_e_097,23.13182855,0,42
3757_e_081,23.05342293,0,46
6015_e_101,22.90800929,0,32
4806_e_093,18.22714424,0,32
3758_e_081,20.62826014,0,28
3161_e_077,20.31847668,0,32
5040_e_097,18.84339905,0,41
4868_e_093,31.14924169,0,37
5992_e_101,19.13179898,0,32
6112_e_101,16.81230426,0,35
1627_e_053,17.80088472,0,30
3232_e_077,13.97535682,0,36
2689_e_069,20.27370715,0,37
3073_e_073,19.57857919,0,28
3449_e_079,20.41244102,0,45
1644_e_053,18.98192525,0,31
5230_e_097,18.00403619,0,35
5746_e_099,29.20674396,0,42
6199_e_101,16.71585584,0,32
2240_e_063,16.70189786,0,36
6234_e_101,17.17658281,0,34
5249_e_097,22.64584589,0,36
3272_e_077,16.87492609,0,31
5943_e_101,17.44764781,0,28
4966_e_097,14.05056334,0,37
4949_e_097,16.63158226,0,32
4673_e_093,126.4382343,1,42
5738_e_099,64.75794291,1,39
5909_e_101,60.26072621,1,37
1661_e_053,102.0950756,1,35
1665_e_053,91.66830826,1,39
3586_e_081,49.82578325,1,44
371_e_019,57.31755161,1,44
4913_e_093,44.77370214,1,40
5938_e_101,75.04273081,1,39
4985_e_097,65.05524445,1,44
6126_e_101,42.35937142,1,40
3688_e_081,37.29255009,1,44
3418_e_079,64.13273382,1,35
1419_e_049,33.81313348,1,39
3247_e_077,38.54075646,1,42
3429_e_079,52.44160271,1,34
4861_e_093,40.5544405,1,40
3753_e_081,43.74157238,1,46
5807_e_099,27.82854438,1,35
5927_e_101,16.30640078,1,34
5128_e_097,55.39095044,1,36
5965_e_101,33.07397294,1,45
3488_e_079,23.76245213,1,42
4720_e_093,33.69043565,1,33
4676_e_093,41.04093051,1,32
3647_e_081,36.59505677,1,40
3403_e_079,21.24816322,1,53
5895_e_101,31.99146461,1,40
4768_e_093,34.04114246,1,37
5571_e_099,32.79237509,1,41
4987_e_097,20.75965357,1,38
5599_e_099,27.91811991,1,33
5517_e_099,20.74215484,1,34
1979_e_057,31.14874983,1,69
4581_e_093,18.34489346,1,36
1410_e_049,18.10935807,1,35
6229_e_101,14.76650953,1,38
2719_e_069,19.81322217,1,40
2190_e_063,9.189929247,1,50
4597_e_093,13.91269493,1,41
5050_e_097,31.21530628,1,29
2621_e_069,9.636199951,1,48
4892_e_093,8.815634489,1,40
1611_e_053,12.18363023,1,34
3174_e_077,18.80203605,1,37
3251_e_077,10.65164685,1,38
5401_e_099,21.80523109,1,30
5450_e_099,6.255256176,1,47
3000_e_073,15.4759028,1,27
3784_e_081,7.011876106,1,39
4995_e_097,8.846354008,1,42
3757_e_081,11.25660586,1,46
